"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"1990","European Community - 12 countries (1986-1994)","Live horses, asses, mules and hinnies","Thousand heads (animals)","2,459.479",""
"1990","European Community - 12 countries (1986-1994)","Live horses","Thousand heads (animals)","1,657.628",""
"1990","European Community - 12 countries (1986-1994)","Live asses, mules and hinnies","Thousand heads (animals)","801.851",""
"1990","European Community - 10 countries (1981-1985)","Live horses, asses, mules and hinnies","Thousand heads (animals)","1,724.490",""
"1990","European Community - 10 countries (1981-1985)","Live horses","Thousand heads (animals)",":",""
"1990","European Community - 10 countries (1981-1985)","Live asses, mules and hinnies","Thousand heads (animals)","420.851",""
"1990","European Community - 9 countries (1973-1980)","Live horses, asses, mules and hinnies","Thousand heads (animals)","1,416.061",""
"1990","European Community - 9 countries (1973-1980)","Live horses","Thousand heads (animals)",":",""
"1990","European Community - 9 countries (1973-1980)","Live asses, mules and hinnies","Thousand heads (animals)","177.851",""
"1990","Belgium","Live horses, asses, mules and hinnies","Thousand heads (animals)","21.189",""
"1990","Belgium","Live horses","Thousand heads (animals)","18.478",""
"1990","Belgium","Live asses, mules and hinnies","Thousand heads (animals)","2.711",""
"1990","Bulgaria","Live horses, asses, mules and hinnies","Thousand heads (animals)","115.000",""
"1990","Bulgaria","Live horses","Thousand heads (animals)",":",""
"1990","Bulgaria","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Czechia","Live horses, asses, mules and hinnies","Thousand heads (animals)","25.000",""
"1990","Czechia","Live horses","Thousand heads (animals)",":",""
"1990","Czechia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Denmark","Live horses, asses, mules and hinnies","Thousand heads (animals)","34.000",""
"1990","Denmark","Live horses","Thousand heads (animals)","34.000",""
"1990","Denmark","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1990","Germany (until 1990 former territory of the FRG)","Live horses, asses, mules and hinnies","Thousand heads (animals)","490.954",""
"1990","Germany (until 1990 former territory of the FRG)","Live horses","Thousand heads (animals)","490.954",""
"1990","Germany (until 1990 former territory of the FRG)","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1990","Federal Republic of Germany (former territory of the FRG only)","Live horses, asses, mules and hinnies","Thousand heads (animals)","405.965",""
"1990","Federal Republic of Germany (former territory of the FRG only)","Live horses","Thousand heads (animals)",":",""
"1990","Federal Republic of Germany (former territory of the FRG only)","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1990","Ireland","Live horses, asses, mules and hinnies","Thousand heads (animals)","54.500",""
"1990","Ireland","Live horses","Thousand heads (animals)","20.100",""
"1990","Ireland","Live asses, mules and hinnies","Thousand heads (animals)","34.400",""
"1990","Greece","Live horses, asses, mules and hinnies","Thousand heads (animals)","308.429",""
"1990","Greece","Live horses","Thousand heads (animals)","65.429",""
"1990","Greece","Live asses, mules and hinnies","Thousand heads (animals)","243.000",""
"1990","Spain","Live horses, asses, mules and hinnies","Thousand heads (animals)","505.000",""
"1990","Spain","Live horses","Thousand heads (animals)","248.000",""
"1990","Spain","Live asses, mules and hinnies","Thousand heads (animals)","257.000",""
"1990","France","Live horses, asses, mules and hinnies","Thousand heads (animals)","334.800",""
"1990","France","Live horses","Thousand heads (animals)","322.100",""
"1990","France","Live asses, mules and hinnies","Thousand heads (animals)","12.700",""
"1990","Croatia","Live horses, asses, mules and hinnies","Thousand heads (animals)","18.000",""
"1990","Croatia","Live horses","Thousand heads (animals)",":",""
"1990","Croatia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Italy","Live horses, asses, mules and hinnies","Thousand heads (animals)","348.240",""
"1990","Italy","Live horses","Thousand heads (animals)","220.200",""
"1990","Italy","Live asses, mules and hinnies","Thousand heads (animals)","128.040",""
"1990","Latvia","Live horses, asses, mules and hinnies","Thousand heads (animals)","30.900",""
"1990","Latvia","Live horses","Thousand heads (animals)",":",""
"1990","Latvia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Lithuania","Live horses, asses, mules and hinnies","Thousand heads (animals)","79.900",""
"1990","Lithuania","Live horses","Thousand heads (animals)",":",""
"1990","Lithuania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Luxembourg","Live horses, asses, mules and hinnies","Thousand heads (animals)","2.775",""
"1990","Luxembourg","Live horses","Thousand heads (animals)","2.775",""
"1990","Luxembourg","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1990","Hungary","Live horses, asses, mules and hinnies","Thousand heads (animals)","79.000",""
