"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2014","European Union - 27 countries (2007-2013)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","21,139.70",""
"2014","European Union - 27 countries (2007-2013)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","18,099.05",""
"2014","European Union - 25 countries (2004-2006)","Live bovine animals","December","Thousand heads (animals)","85,310.98",""
"2014","European Union - 25 countries (2004-2006)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","25,989.34",""
"2014","European Union - 25 countries (2004-2006)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,229.95",""
"2014","European Union - 25 countries (2004-2006)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","20,758.40",""
"2014","European Union - 25 countries (2004-2006)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","17,780.02",""
"2014","European Union - 15 countries (1995-2004)","Live bovine animals","December","Thousand heads (animals)","75,044.11",""
"2014","European Union - 15 countries (1995-2004)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","23,220.45",""
"2014","European Union - 15 countries (1995-2004)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","4,698.12",""
"2014","European Union - 15 countries (1995-2004)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","18,521.33",""
"2014","European Union - 15 countries (1995-2004)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","15,341.27",""
"2014","Belgium","Live bovine animals","December","Thousand heads (animals)","2,477.24",""
"2014","Belgium","Bovine animals, less than 1 year old","December","Thousand heads (animals)","744.97",""
"2014","Belgium","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","178.62",""
"2014","Belgium","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","566.35",""
"2014","Belgium","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","489.72",""
"2014","Bulgaria","Live bovine animals","December","Thousand heads (animals)","562.36",""
"2014","Bulgaria","Bovine animals, less than 1 year old","December","Thousand heads (animals)","120.65",""
"2014","Bulgaria","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","47.74",""
"2014","Bulgaria","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","72.91",""
"2014","Bulgaria","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","65.34",""
"2014","Czechia","Live bovine animals","December","Thousand heads (animals)","1,373.07",""
"2014","Czechia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","412.50",""
"2014","Czechia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","4.46",""
"2014","Czechia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","408.04",""
"2014","Czechia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","311.42",""
"2014","Denmark","Live bovine animals","December","Thousand heads (animals)","1,553.00",""
"2014","Denmark","Bovine animals, less than 1 year old","December","Thousand heads (animals)","534.00",""
"2014","Denmark","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","255.00",""
"2014","Denmark","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","279.00",""
"2014","Denmark","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","307.00",""
"2014","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand heads (animals)","12,742.19",""
"2014","Germany (until 1990 former territory of the FRG)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","3,908.57",""
"2014","Germany (until 1990 former territory of the FRG)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","213.08",""
"2014","Germany (until 1990 former territory of the FRG)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","3,695.49",""
"2014","Germany (until 1990 former territory of the FRG)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","3,010.86",""
"2014","Estonia","Live bovine animals","December","Thousand heads (animals)","264.70",""
"2014","Estonia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","73.00",""
"2014","Estonia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","4.20",""
"2014","Estonia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","68.80",""
"2014","Estonia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","54.10",""
"2014","Ireland","Live bovine animals","December","Thousand heads (animals)","6,243.05",""
"2014","Ireland","Bovine animals, less than 1 year old","December","Thousand heads (animals)","1,885.70",""
"2014","Ireland","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","8.30",""
"2014","Ireland","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","1,877.40",""
"2014","Ireland","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","1,648.76",""
"2014","Greece","Live bovine animals","December","Thousand heads (animals)","659.00",""
"2014","Greece","Bovine animals, less than 1 year old","December","Thousand heads (animals)","176.00",""
"2014","Greece","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","63.00",""
"2014","Greece","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","113.00",""
"2014","Greece","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","119.00",""
"2014","Spain","Live bovine animals","December","Thousand heads (animals)","6,078.73",""
"2014","Spain","Bovine animals, less than 1 year old","December","Thousand heads (animals)","2,301.99",""
"2014","Spain","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","1,585.23",""
"2014","Spain","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","716.76",""
"2014","Spain","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","745.83",""
"2014","France","Live bovine animals","December","Thousand heads (animals)","19,248.63",""
"2014","France","Bovine animals, less than 1 year old","December","Thousand heads (animals)","5,545.79",""
"2014","France","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","624.53",""
