"TIME","GEO","MONTH","ANIMALS","UNIT","Value","Flag and Footnotes"
"2013","Italy","December","Live sheep","Thousand heads (animals)","7,181.83",""
"2013","Italy","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","6,322.87",""
"2013","Italy","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","5,246.51",""
"2013","Italy","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,076.36",""
"2013","Italy","December","Other sheep","Thousand heads (animals)","858.97",""
"2013","Cyprus","December","Live sheep","Thousand heads (animals)","314.40",""
"2013","Cyprus","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","218.49",""
"2013","Cyprus","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","196.96",""
"2013","Cyprus","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","21.53",""
"2013","Cyprus","December","Other sheep","Thousand heads (animals)","95.91",""
"2013","Latvia","December","Live sheep","Thousand heads (animals)","84.85",""
"2013","Latvia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","52.95",""
"2013","Latvia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Latvia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Latvia","December","Other sheep","Thousand heads (animals)","31.90",""
"2013","Lithuania","December","Live sheep","Thousand heads (animals)","99.60",""
"2013","Lithuania","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Lithuania","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Lithuania","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2013","Lithuania","December","Other sheep","Thousand heads (animals)","36.00",""
"2013","Luxembourg","December","Live sheep","Thousand heads (animals)",":",""
"2013","Luxembourg","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2013","Luxembourg","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
