"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2013","Serbia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","442.00",""
"2013","Serbia","Covered sows","December","Thousand heads (animals)","207.00",""
"2013","Bosnia and Herzegovina","Live swine, domestic species","December","Thousand heads (animals)","530.00","e"
"2013","Bosnia and Herzegovina","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","172.00","e"
"2013","Bosnia and Herzegovina","Breeding pigs","December","Thousand heads (animals)","103.00","e"
"2013","Bosnia and Herzegovina","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","97.00","e"
"2013","Bosnia and Herzegovina","Covered sows","December","Thousand heads (animals)","78.00","e"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Live swine, domestic species","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Breeding pigs","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Covered sows","December","Thousand heads (animals)",":",""
"2014","European Union - 27 countries (from 2020)","Live swine, domestic species","December","Thousand heads (animals)","143,820.80",""
"2014","European Union - 27 countries (from 2020)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","40,654.50",""
"2014","European Union - 27 countries (from 2020)","Breeding pigs","December","Thousand heads (animals)","12,260.20",""
"2014","European Union - 27 countries (from 2020)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","12,068.71",""
"2014","European Union - 27 countries (from 2020)","Covered sows","December","Thousand heads (animals)","8,292.23",""
"2014","European Union - 28 countries (2013-2020)","Live swine, domestic species","December","Thousand heads (animals)","148,330.80",""
"2014","European Union - 28 countries (2013-2020)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","41,831.50",""
"2014","European Union - 28 countries (2013-2020)","Breeding pigs","December","Thousand heads (animals)","12,746.20",""
"2014","European Union - 28 countries (2013-2020)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","12,541.71",""
"2014","European Union - 28 countries (2013-2020)","Covered sows","December","Thousand heads (animals)","8,608.23",""
"2014","European Union - 27 countries (2007-2013)","Live swine, domestic species","December","Thousand heads (animals)","147,174.80",""
"2014","European Union - 27 countries (2007-2013)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","41,504.50",""
"2014","European Union - 27 countries (2007-2013)","Breeding pigs","December","Thousand heads (animals)","12,627.20",""
"2014","European Union - 27 countries (2007-2013)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","12,425.71",""
"2014","European Union - 27 countries (2007-2013)","Covered sows","December","Thousand heads (animals)","8,572.23",""
"2014","European Union - 25 countries (2004-2006)","Live swine, domestic species","December","Thousand heads (animals)","141,579.99",""
"2014","European Union - 25 countries (2004-2006)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","40,557.72",""
"2014","European Union - 25 countries (2004-2006)","Breeding pigs","December","Thousand heads (animals)","12,185.99",""
"2014","European Union - 25 countries (2004-2006)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","11,992.24",""
"2014","European Union - 25 countries (2004-2006)","Covered sows","December","Thousand heads (animals)","8,305.67",""
"2014","European Union - 15 countries (1995-2004)","Live swine, domestic species","December","Thousand heads (animals)","122,836.91",""
"2014","European Union - 15 countries (1995-2004)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","35,876.30",""
"2014","European Union - 15 countries (1995-2004)","Breeding pigs","December","Thousand heads (animals)","10,516.45",""
"2014","European Union - 15 countries (1995-2004)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","10,353.59",""
"2014","European Union - 15 countries (1995-2004)","Covered sows","December","Thousand heads (animals)","7,222.73",""
"2014","Belgium","Live swine, domestic species","December","Thousand heads (animals)","6,350.29",""
"2014","Belgium","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","1,627.46",""
"2014","Belgium","Breeding pigs","December","Thousand heads (animals)","465.58",""
"2014","Belgium","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","460.03",""
"2014","Belgium","Covered sows","December","Thousand heads (animals)","368.23",""
"2014","Bulgaria","Live swine, domestic species","December","Thousand heads (animals)","553.11",""
"2014","Bulgaria","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","141.47",""
"2014","Bulgaria","Breeding pigs","December","Thousand heads (animals)","56.51",""
"2014","Bulgaria","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","55.17",""
"2014","Bulgaria","Covered sows","December","Thousand heads (animals)","32.76",""
"2014","Czechia","Live swine, domestic species","December","Thousand heads (animals)","1,606.86",""
"2014","Czechia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","440.09",""
"2014","Czechia","Breeding pigs","December","Thousand heads (animals)","145.41",""
"2014","Czechia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","142.93",""
"2014","Czechia","Covered sows","December","Thousand heads (animals)","90.40",""
"2014","Denmark","Live swine, domestic species","December","Thousand heads (animals)","12,709.00",""
"2014","Denmark","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","4,468.00",""
"2014","Denmark","Breeding pigs","December","Thousand heads (animals)","1,256.00",""
"2014","Denmark","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","1,245.00",""
"2014","Denmark","Covered sows","December","Thousand heads (animals)","802.00",""
"2014","Germany (until 1990 former territory of the FRG)","Live swine, domestic species","December","Thousand heads (animals)","28,338.99",""
"2014","Germany (until 1990 former territory of the FRG)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","8,097.77",""
"2014","Germany (until 1990 former territory of the FRG)","Breeding pigs","December","Thousand heads (animals)","2,074.40",""
"2014","Germany (until 1990 former territory of the FRG)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","2,052.26",""
"2014","Germany (until 1990 former territory of the FRG)","Covered sows","December","Thousand heads (animals)","1,485.37",""
"2014","Estonia","Live swine, domestic species","December","Thousand heads (animals)","357.90",""
"2014","Estonia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","111.60",""
"2014","Estonia","Breeding pigs","December","Thousand heads (animals)","34.60",""
"2014","Estonia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","33.60",""
"2014","Estonia","Covered sows","December","Thousand heads (animals)","26.00",""
"2014","Ireland","Live swine, domestic species","December","Thousand heads (animals)","1,505.66",""
"2014","Ireland","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","439.05",""
"2014","Ireland","Breeding pigs","December","Thousand heads (animals)","147.03",""
