Time frequency,species,Unit of measure,area,year,value
Annual,Laying hens,Thousand heads (animals),Netherlands,1987,38246.0
Annual,Laying hens,Thousand heads (animals),Denmark,1988,3991.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1988,8127.0
Annual,Laying hens,Thousand heads (animals),Poland,1988,54209.4
Annual,Laying hens,Thousand heads (animals),Luxembourg,1988,0.0
Annual,Laying hens,Thousand heads (animals),Belgium,1988,10177.0
Annual,Laying hens,Thousand heads (animals),Italy,1988,52730.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1988,56481.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1988,37061.0
Annual,Laying hens,Thousand heads (animals),Czechia,1988,15699.0
Annual,Laying hens,Thousand heads (animals),Portugal,1988,7436.0
Annual,Laying hens,Thousand heads (animals),France,1988,55886.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1988,16917.0
Annual,Laying hens,Thousand heads (animals),Ireland,1988,3388.0
Annual,Laying hens,Thousand heads (animals),Greece,1988,17154.0
Annual,Laying hens,Thousand heads (animals),Croatia,1988,7978.0
Annual,Laying hens,Thousand heads (animals),Spain,1988,52585.0
Annual,Laying hens,Thousand heads (animals),Czechia,1989,15437.0
Annual,Laying hens,Thousand heads (animals),Belgium,1989,9950.0
Annual,Laying hens,Thousand heads (animals),France,1989,64900.0
Annual,Laying hens,Thousand heads (animals),Poland,1989,55623.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1989,15459.0
Annual,Laying hens,Thousand heads (animals),Portugal,1989,7686.0
Annual,Laying hens,Thousand heads (animals),Croatia,1989,7679.0
Annual,Laying hens,Thousand heads (animals),Ireland,1989,3140.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1989,39877.0
Annual,Laying hens,Thousand heads (animals),Italy,1989,47512.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1989,0.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1989,50173.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1989,8260.0
Annual,Laying hens,Thousand heads (animals),Greece,1989,16866.0
Annual,Laying hens,Thousand heads (animals),Denmark,1989,4048.0
Annual,Laying hens,Thousand heads (animals),Spain,1989,49883.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1990,14044.0
Annual,Laying hens,Thousand heads (animals),Denmark,1990,4327.0
Annual,Laying hens,Thousand heads (animals),Czechia,1990,15215.0
Annual,Laying hens,Thousand heads (animals),Greece,1990,16597.0
Annual,Laying hens,Thousand heads (animals),France,1990,62100.0
