animals,unit,geo,year,population
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1991,21.329 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1991,114.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1991,21.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1991,0.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1991,340.300 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1991,19.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1991,78.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1991,82.600 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1991,30.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1991,65.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1991,76.716 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1991,938.900 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1991,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1991,749.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1991,11.000 
