month,animals,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
M05_M06,A4110KD,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92.91 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4110KD,THS_HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	798.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4110KD,THS_HD,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4110KD,THS_HD,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4110KD,THS_HD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	159.15 	142.16 	152.99 	: 	139.46 	131.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4110KD,THS_HD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	201.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4110KD,THS_HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	540.98 	: 	567.87 	: 	598.70 	705.10 	640.30 	349.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	750.53 	983.53 	1004.54 	1028.57 	1030.91 	1032.07 	1049.75 	1001.31 	1721.98 	1071.08 	1065.59 	1034.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	275.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2215.92 	2253.10 	2365.40 	2577.80 	2773.20 	2937.80 	3107.30 	3131.00 	3300.10 	3310.90 	3338.70 	3526.60 	3734.60 	3640.20 	3422.40 	3717.80 	3663.10 	3786.90 	4030.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.44 	4.38 	4.97 	5.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	365.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	128.42 	106.33 	109.83 	: 	152.78 	158.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	274.86 	274.86 	: 	255.00 	246.84 	229.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M05_M06,A4120,THS_HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M12,A4100,THS_HD,AL	1480.45 	1557.86 	1758.33 	1863.84 	1925.51 	1971.93 p	1918.00 e	1896.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M12,A4100,THS_HD,AT	402.35 	393.76 	402.66 	406.34 	401.48 	378.38 	353.71 	349.09 	357.44 	364.65 	361.18 	358.42 	344.71 	333.18 	351.33 	312.38 	325.73 	327.16 	325.50 	304.36 	320.47 	339.24 	352.28 	360.81 	383.66 	380.86 	365.25 	342.14 	334.00 	312.00 	326.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M12,A4100,THS_HD,BA	: 	1014.00 e	1013.00 e	1012.00 e	1017.00 e	1016.00 e	1020.00 e	1025.00 e	1020.00 e	1004.00 e	1021.00 	1046.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M12,A4100,THS_HD,BE	: 	: 	117.32 e	: 	: 	86.23 	117.32 e	: 	0.00 	119.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146.43 	153.13 	160.45 	119.32 	116.23 	114.52 	113.11 	118.00 	119.00 	127.00 	128.10 	129.00 	136.43 	131.60 	128.97 	133.09 	127.99 	124.00 	109.14 	97.00 	83.00 	79.00 	86.00 	84.10 	91.00 	84.00 	82.00 	83.00 	81.00 	74.00 	69.00 	66.00 	66.00 	85.00 	84.00 	65.00 	68.00 	67.00 	64.00 	58.00 	: 	: 	: 
M12,A4100,THS_HD,BG	1199.55 	1307.77 	1280.98 	1350.03 	1316.78 	1360.09 	1331.89 	1335.28 	1369.58 	1361.55 	1454.62 	1367.99 	1400.25 	1474.85 	1526.39 	1635.41 	1602.26 	1692.51 	1598.60 	1728.40 	1571.40 	1709.70 	2526.00 	2774.00 	2848.00 	3020.00 	3383.00 	3398.00 	3763.00 	4814.00 	6703.00 	7938.00 	8130.00 	8609.00 	8886.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
