species;year;table_name
Male Exotic;2015;Number of Goats by Age and Purpose
Female Exotic;2015;Number of Goats by Age and Purpose
Total Hybrid;2015;Number of Goats by Age and Purpose
Male Hybrid;2015;Number of Goats by Age and Purpose
Female Hybrid;2015;Number of Goats by Age and Purpose
Total Goats less than 6 months;2016;Number of Goats by Age and Purpose
Male Goats less than 6 months;2016;Number of Goats by Age and Purpose
Female Goats less than 6 months;2016;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2016;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2016;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2016;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2016;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2016;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2016;Number of Goats by Age and Purpose
Total Goats 2 years and older;2016;Number of Goats by Age and Purpose
Male Goats 2 years and older;2016;Number of Goats by Age and Purpose
Female Goats 2 years and older;2016;Number of Goats by Age and Purpose
Total Goats for meat;2016;Number of Goats by Age and Purpose
Male Goats for meat;2016;Number of Goats by Age and Purpose
Female Goats for meat;2016;Number of Goats by Age and Purpose
Total Dairy Goats;2016;Number of Goats by Age and Purpose
Total Goats for breeding;2016;Number of Goats by Age and Purpose
Male Goats for breeding;2016;Number of Goats by Age and Purpose
Female Goats for breeding;2016;Number of Goats by Age and Purpose
Total Goats for other purposes;2016;Number of Goats by Age and Purpose
Male Goats for other purposes;2016;Number of Goats by Age and Purpose
Female Goats for other purposes;2016;Number of Goats by Age and Purpose
Total Grand Total;2016;Number of Goats by Age and Purpose
Male Grand Total;2016;Number of Goats by Age and Purpose
Female Grand Total;2016;Number of Goats by Age and Purpose
Total Local breed;2016;Number of Goats by Age and Purpose
Male Local breed;2016;Number of Goats by Age and Purpose
Female Local breed;2016;Number of Goats by Age and Purpose
Total Exotic;2016;Number of Goats by Age and Purpose
Male Exotic;2016;Number of Goats by Age and Purpose
Female Exotic;2016;Number of Goats by Age and Purpose
Total Hybrid;2016;Number of Goats by Age and Purpose
Male Hybrid;2016;Number of Goats by Age and Purpose
Female Hybrid;2016;Number of Goats by Age and Purpose
Total Goats less than 6 months;2017;Number of Goats by Age and Purpose
Male Goats less than 6 months;2017;Number of Goats by Age and Purpose
Female Goats less than 6 months;2017;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2017;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2017;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2017;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2017;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2017;Number of Goats by Age and Purpose
